Scan_Id;alpha_means_base;alpha_means;beta_means_base;beta_means;alpha_stds;beta_stds;ssims;pccs
CF_PACS04rescan_06P008;0.5441015625;0.5691363129058442;0.46992918864989175;0.4834572426271645;0.028288888642282198;0.02361677954207251;0.9156637242965368;0.8846376995400433
CF_PACS04rescan_06P017;0.5621407786085079;0.5694653562568909;0.4604881951143881;0.47869123397877616;0.032650174747622655;0.02408366513488837;0.8972533506753032;0.8588411745452039
CF_PACS04rescan_06P024;0.5787132789085914;0.5719319299308646;0.44932163007447096;0.47659141284851514;0.024573437925710654;0.025571621316361197;0.9038665524816093;0.8700449053787122
CF_PACS04rescan_06P027;0.5460317488196943;0.5527194455373201;0.46210311048036573;0.4727683087904676;0.027289491648868406;0.02966326523741944;0.9475861107988609;0.9308927467401079
CF_PACS04rescan_06P028;0.5585979689095515;0.558708811169586;0.45846617784590765;0.47770793394322913;0.026208048314031694;0.024257241317177314;0.9108134794006755;0.8689717152030477
CF_PACS04rescan_06P029;0.5829495488059533;0.5654873843040505;0.45715237549583976;0.48474369895470526;0.02830382544927922;0.0203043541056945;0.890479750185436;0.8484258976514125
CF_PACS04rescan_06P033;0.6182800539409489;0.5799717283184724;0.4211219099617261;0.46515091373654105;0.02514101339060397;0.02800490532075412;0.9066159152086137;0.8880270545928668
CF_PACS04rescan_06P036;0.5533075043266042;0.5502696922022674;0.4650311363294852;0.48778244370232965;0.027915098164690764;0.017968606798630254;0.9057398590356077;0.8657839444122036
CF_PACS04rescan_06P0401;0.5429832449614377;0.5500683252692083;0.47360399310608264;0.4798956590148428;0.027570025940296675;0.021978118505688846;0.9315029512878347;0.8921578848042783
CF_PACS04rescan_06P0407;0.6027579577868116;0.5738366702508759;0.44447271415416406;0.4739591814246249;0.02650677985380778;0.025964131199781297;0.8925103946747821;0.8511570831180936
CF_PACS04rescan_06P0410;0.5348679193740651;0.5655053948321802;0.468444029894353;0.4695633516618362;0.024050798323409454;0.025920813709564325;0.9167854075121541;0.9034101533283471
CF_PACS04rescan_06P0411;0.5424247372401692;0.5652402410465092;0.46358466535709825;0.47980078548071314;0.02734958502805939;0.020804678133445154;0.8747222374093977;0.7763908632216946
CF_PACS04rescan_06P0416;0.5242209969452993;0.5601781684504836;0.47584476556202826;0.4720975191434015;0.023392198827752893;0.026490744893137;0.9251324266551256;0.9071502808538506
CF_PACS04rescan_06P0419;0.526685209024795;0.5635698907592249;0.47471933837795294;0.4698632659971691;0.02208639857639609;0.02621539799974375;0.9351135992715248;0.923967497742581
CF_PACS04rescan_06P0422;0.526765870138475;0.5650732887538318;0.4756575332350562;0.4798480873211853;0.022531722481958873;0.02182976361516386;0.9050965685935372;0.8000214704051005
CF_PACS04rescan_06P0426;0.5360299818492162;0.5582685891522021;0.47157676293994616;0.4791746802577171;0.024947387918347018;0.021687603464538355;0.9214461163633523;0.875558196701606
CF_PACS04rescan_06P0427;0.5288298209661214;0.560826256120514;0.4752518852421318;0.4772728931103532;0.022502428001041904;0.022462205466848396;0.9055372298836749;0.822712446843513
